Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az,Star Name,Star RA (Equinox of Date corrected for proper motion/aberration/nutation),Star Dec (Equinox of Date corrected for proper motion/aberration/nutation),Star Geometric Alt From Observer Location,Star Geometric Az From Observer Location,Star Geometric Alt From Target Location,Star Geometric Az From Target Location,Target Surface Distance,Target Altitude - Observer Altitude,Flat Earth Rise/Run Angle,Target Refraction,Target Apparent Elevation Globe Prediction With Refraction,Star Refraction,Star Alt With Refraction Subtracted,Globe Error (Degrees),Celestial Theodolite Error (Degrees),Flat Earth Rise/Run Error (Degrees),Globe Occultation Time Error (Seconds),Celestial Theodolite Occultation Time Error (Seconds),Globe Target Height Error (meters),Flat Earth Target Height Error (meters),Winner
Mount Rosa,031125UTweatherballoondataGrandJunction.csv,2025,3,11,3,0,52,38.9997,-104.49723,2075.08,38.754167,-104.948056,3506.0,44.1475,-25.20572222,,,HIP 13626,44.14829434108878,-25.20611950251293,1.2842664746783354,235.5081371833209,1.7125845172329233,235.2252418905152,47.68,1430.92,1.718972804034917,0.027359869796782732,1.5314154308912467,0.26500222754842184,1.2664132033428248,0.017853271335510623,-0.00638828680199377,,6.671,-2.387,14.878549107276267,5.3161891491762505,Celestial Theodolite Wins!
Blue Mountain,031325UTweatherballoondataGrandJunction.csv,2025,3,13,4,32,54,38.9997,-104.49723,2075.08,38.693889,-104.915833,3000.8,75.8325,-31.73805556,,,HIP 23446,75.83360922972996,-31.738137855803597,0.558066897758225,226.78003830748892,1.0050632090131744,226.51745256887304,49.73,925.7200000000003,1.0664231403147832,0.025064473738893756,0.8675649239328774,0.31866434713466807,0.5489005767982094,0.009166320960015684,-0.06135993130160888,,3.874,-25.932,7.962516949261256,53.258013376318225,Globe Wins!
Blue Mountain,031325UTweatherballoondataGrandJunction.csv,2025,3,13,4,34,43,38.9997,-104.49723,2075.08,38.693889,-104.915833,3000.8,75.77041667,-31.31641667,,,HIP 23429,75.7712492444971,-31.31644937107043,0.5772878686618723,227.39017712044324,1.0242740607024456,227.1276574377864,49.73,925.7200000000003,1.0664231403147832,0.025064473738893756,0.8675649239328774,0.31866434713466807,0.5489005767982094,0.028387291863662956,-0.0421490796123376,,11.879,-17.636,24.659032051441798,36.58374031607114,Globe Wins!
Blue Mountain,031325UTweatherballoondataGrandJunction.csv,2025,3,13,5,28,21,38.9997,-104.49723,2075.08,38.693889,-104.915833,3000.8,89.32458333,-31.3825,,,HIP 28098,89.32553863559262,-31.382391159775995,0.5907120962961586,227.27671394760725,1.0377040071781822,227.01418246511793,49.73,925.7200000000003,1.0664231403147832,0.025064473738893756,0.8675649239328774,0.31866434713466807,0.5489005767982094,0.04181151949794926,-0.028719133136601016,,17.528,-12.039,36.319993662250035,24.92707354228567,Celestial Theodolite Wins!
Green Mountain,031525UTweatherballoondataGrandJunction.csv,2025,3,15,4,2,58,38.9997,-104.49723,2075.08,38.696111,-104.963333,3084.9,67.11041667,-29.14277778,,,HIP 20802,67.11109443455838,-29.14283063888432,0.607602573957698,230.5609289264923,1.0808176055794338,230.26860044023084,52.66,1009.8200000000002,1.0985796606932576,0.029005459044128545,0.8905300533652344,0.3285428250180602,0.5619872283471742,0.04561534561052383,-0.017762055113823783,,18.19,-7.083,41.959883989063584,16.324970893406093,Celestial Theodolite Wins!
Green Mountain,031525UTweatherballoondataGrandJunction.csv,2025,3,15,5,29,28,38.9997,-104.49723,2075.08,38.696111,-104.963333,3084.9,88.80291667,-29.14616667,,,HIP 27901,88.80357961205438,-29.146092763431827,0.6102020574297863,230.55343289812132,1.0834174317258423,230.26110361698713,52.66,1009.8200000000002,1.0985796606932576,0.029005459044128545,0.8905300533652344,0.3285428250180602,0.5619872283471742,0.0482148290826121,-0.01516222896741537,,19.229,-6.047,44.351007743663935,13.93549016905317,Celestial Theodolite Wins!
North Peak,032425UTweatherballoondataGrandJunction.csv,2025,3,24,4,8,21,38.9997,-104.49723,2072.18,37.901389,-105.032222,3765.0,108.3133333,-46.80138889,,,HIP 34834,108.32151506682393,-46.80520175920552,-0.20631045522068447,200.74379454986604,0.9691781567445703,200.41105749741558,130.56,1692.8200000000002,0.7428712277951316,0.06640584432464833,0.22121384256837334,0.3897236706102206,-0.16850982804184725,-0.037800627178837226,0.2263069289494387,,-32.867,196.817,86.20325374249612,515.6713655351826,Globe Wins!
North Peak,032425UTweatherballoondataGrandJunction.csv,2025,3,24,4,9,11,38.9997,-104.49723,2072.18,37.901389,-105.032222,3765.0,108.86625,-46.89388889,,,HIP 35029,108.87407367014178,-46.89760344125298,-0.1969486813024682,200.49143184577895,0.9785010992488253,200.15865846172477,130.56,1692.8200000000002,0.7428712277951316,0.06640584432464833,0.22121384256837334,0.3897236706102206,-0.16850982804184725,-0.028438853260620955,0.23562987145369374,,-25.018,207.382,64.85374479081315,536.9152030468998,Globe Wins!
North Peak,032425UTweatherballoondataGrandJunction.csv,2025,3,24,4,11,40,38.9997,-104.49723,2072.18,37.901389,-105.032222,3765.0,109.24,-46.81947222,,,HIP 35181,109.24760965076396,-46.82310300883767,-0.19668937313478907,200.67727785146036,0.9787912171275781,200.34453043849848,130.56,1692.8200000000002,0.7428712277951316,0.06640584432464833,0.22121384256837334,0.3897236706102206,-0.16850982804184725,-0.02817954509294182,0.2359199893324465,,-24.577,205.819,64.26239533094845,537.5762841670435,Globe Wins!
Hounds Tooth,062825UTweatherballoondataSaltLakeCity.csv,2025,6,28,5,47,52,40.62346944,-111.8234,1411.0,40.58696667,-111.7310611,3067.0,315.3333333,-12.95130556,,,HIP 103640,315.3335784126089,-12.951428240391879,10.53834759822801,117.38288620743025,10.617386313589416,117.4429605364893,8.8,1656.0,10.652892544971813,0.004213303327556872,10.613934359411031,0.06543081785668292,10.548503541554348,-0.010155943326338956,-0.0355062313823975,,3.607,12.61,1.6165207188815822,5.455722191055052,Globe Wins!
